"id","sequence","name","type_tax_use","amount","amount_type","description","tax_group_id","active","l10n_ee_kmd_inf_code","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@et","fiscal_position_ids","original_tax_ids","invoice_legal_notes"
"l10n_ee_vat_in_0_kms_41_1","370","20% KMS §41¹","purchase","20.0","percent","20%","tax_group_vat_20","False","12","base","invoice","1_1_base_rc||7_1","","","20% KMS §41¹","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","1_1_tax","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","1_1_base_rc||7_1","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","1_1_tax","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_0_kms_41_2","370","22% KMS §41¹","purchase","22.0","percent","22%","tax_group_vat_22","False","12","base","invoice","1_base_rc||7_1","","","22% KMS §41¹","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","1_tax","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","1_base_rc||7_1","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","1_tax","l10n_ee_201204","-100","","","",""
"l10n_ee_vat_in_0_kms_41_3","370","24% KMS §41¹","purchase","24.0","percent","24%","tax_group_vat_24","False","12","base","invoice","1_base_24_rc||7_1","","","24% KMS §41¹","afpt_national,afpt_eu_private","",""
"","","","","","","","","","","tax","invoice","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","invoice","1_tax_24","l10n_ee_201204","-100","","","",""
"","","","","","","","","","","base","refund","1_base_24_rc||7_1","","","","","",""
"","","","","","","","","","","tax","refund","5_tax","l10n_ee_201201","100","","","",""
"","","","","","","","","","","tax","refund","1_tax_24","l10n_ee_201204","-100","","","",""
