"id","name","type_tax_use","amount","amount_type","invoice_label","invoice_label@ka","description","description@ka","tax_group_id","fiscal_position_ids","is_withholding_tax","l10n_ge_wht_category_ids","active","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent"
"","","","","","","","","","","","","","","","","base","refund","","6(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","6(T)_W_G","-100"
"ge_tax_wh_20_p_g","20% WH P G","purchase","20","division","20% Withholding","20% გადახდის წყაროსთან","Gross Withholding on Payment - Profit","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — მოგება","ge_tax_group_wh_20","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_4,l10n_ge_withholding.wht_category_30","False","on_payment","ge_account_331212","base","invoice","","6(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","6(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","6(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","6(T)_W_G","-100"
"ge_tax_wh_10_l_d","10% WH L D","purchase","-10","percent","10% Withholding","10% გადახდის წყაროსთან","Deducted Withholding on Payment - Lease service compensation","გადახდის წყაროსთან დაკავებული გადასახადი (გამოქვითვა) — იჯარის მომსახურების ანაზღაურება","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","True","l10n_ge_withholding.wht_category_33,l10n_ge_withholding.wht_category_37,l10n_ge_withholding.wht_category_39","True","on_invoice","","base","invoice","","7(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","","100"
"","","","","","","","","","","","","","","","","base","refund","","7(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","","100"
"ge_tax_wh_4_l_g","4% WH L G","purchase","4","division","4% Withholding","4% გადახდის წყაროსთან","Gross Withholding on Payment - Lease service compensation","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — იჯარის მომსახურების ანაზღაურება","ge_tax_group_wh_4","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_36,l10n_ge_withholding.wht_category_38","False","on_payment","ge_account_331212","base","invoice","","7(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","7(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","7(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","7(T)_W_G","-100"
"ge_tax_wh_5_l_g","5% WH L G","purchase","5","division","5% Withholding","5% გადახდის წყაროსთან","Gross Withholding on Payment - Lease service compensation","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — იჯარის მომსახურების ანაზღაურება","ge_tax_group_wh_5","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_27","False","on_payment","ge_account_331212","base","invoice","","7(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","7(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","7(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","7(T)_W_G","-100"
"ge_tax_wh_10_l_g","10% WH L G","purchase","10","division","10% Withholding","10% გადახდის წყაროსთან","Gross Withholding on Payment - Lease service compensation","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — იჯარის მომსახურების ანაზღაურება","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_33,l10n_ge_withholding.wht_category_37,l10n_ge_withholding.wht_category_39","False","on_payment","ge_account_331212","base","invoice","","7(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","7(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","7(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","7(T)_W_G","-100"
"ge_tax_wh_15_l_g","15% WH L G","purchase","15","division","15% Withholding","15% გადახდის წყაროსთან","Gross Withholding on Payment - Lease service compensation","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — იჯარის მომსახურების ანაზღაურება","ge_tax_group_wh_15","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_31","False","on_payment","ge_account_331212","base","invoice","","7(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","7(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","7(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","7(T)_W_G","-100"
"ge_tax_wh_20_l_g","20% WH L G","purchase","20","division","20% Withholding","20% გადახდის წყაროსთან","Gross Withholding on Payment - Lease service compensation","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — იჯარის მომსახურების ანაზღაურება","ge_tax_group_wh_20","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_26,l10n_ge_withholding.wht_category_30,l10n_ge_withholding.wht_category_32,l10n_ge_withholding.wht_category_34","False","on_payment","ge_account_331212","base","invoice","","7(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","7(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","7(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","7(T)_W_G","-100"
"ge_tax_wh_10_psi_d","10% WH PSI D","purchase","-10","percent","10% Withholding","10% გადახდის წყაროსთან","Deducted Withholding on Payment - Partnership taxable-profit share income","გადახდის წყაროსთან დაკავებული გადასახადი (გამოქვითვა) — ამხანაგობის დასაბეგრი მოგების წილის შემოსავალი","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","True","l10n_ge_withholding.wht_category_34,l10n_ge_withholding.wht_category_37","True","on_invoice","","base","invoice","","8(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","","100"
"","","","","","","","","","","","","","","","","base","refund","","8(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","","100"
"ge_tax_wh_4_psi_g","4% WH PSI G","purchase","4","division","4% Withholding","4% გადახდის წყაროსთან","Gross Withholding on Payment - Partnership taxable-profit share income","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — ამხანაგობის დასაბეგრი მოგების წილის შემოსავალი","ge_tax_group_wh_4","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_36","False","on_payment","ge_account_331212","base","invoice","","8(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","8(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","8(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","8(T)_W_G","-100"
"ge_tax_wh_10_psi_g","10% WH PSI G","purchase","10","division","10% Withholding","10% გადახდის წყაროსთან","Gross Withholding on Payment - Partnership taxable-profit share income","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — ამხანაგობის დასაბეგრი მოგების წილის შემოსავალი","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_34,l10n_ge_withholding.wht_category_37","False","on_payment","ge_account_331212","base","invoice","","8(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","8(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","8(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","8(T)_W_G","-100"
"ge_tax_wh_15_psi_g","15% WH PSI G","purchase","15","division","15% Withholding","15% გადახდის წყაროსთან","Gross Withholding on Payment - Partnership taxable-profit share income","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — ამხანაგობის დასაბეგრი მოგების წილის შემოსავალი","ge_tax_group_wh_15","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_32","False","on_payment","ge_account_331212","base","invoice","","8(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","8(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","8(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","8(T)_W_G","-100"
"ge_tax_wh_20_psi_g","20% WH PSI G","purchase","20","division","20% Withholding","20% გადახდის წყაროსთან","Gross Withholding on Payment - Partnership taxable-profit share income","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — ამხანაგობის დასაბეგრი მოგების წილის შემოსავალი","ge_tax_group_wh_20","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_26,l10n_ge_withholding.wht_category_30","False","on_payment","ge_account_331212","base","invoice","","8(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","8(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","8(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","8(T)_W_G","-100"
"ge_tax_wh_10_sch_d","10% WH SCH D","purchase","-10","percent","10% Withholding","10% გადახდის წყაროსთან","Deducted Withholding on Payment - Scholarship","გადახდის წყაროსთან დაკავებული გადასახადი (გამოქვითვა) — სტიპენდია","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","True","l10n_ge_withholding.wht_category_34,l10n_ge_withholding.wht_category_37","True","on_invoice","","base","invoice","","9(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","","100"
"","","","","","","","","","","","","","","","","base","refund","","9(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","","100"
"ge_tax_wh_4_sch_g","4% WH SCH G","purchase","4","division","4% Withholding","4% გადახდის წყაროსთან","Gross Withholding on Payment - Scholarship","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — სტიპენდია","ge_tax_group_wh_4","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_36","False","on_payment","ge_account_331212","base","invoice","","9(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","9(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","9(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","9(T)_W_G","-100"
"ge_tax_wh_10_sch_g","10% WH SCH G","purchase","10","division","10% Withholding","10% გადახდის წყაროსთან","Gross Withholding on Payment - Scholarship","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — სტიპენდია","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_34,l10n_ge_withholding.wht_category_37","False","on_payment","ge_account_331212","base","invoice","","9(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","9(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","9(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","9(T)_W_G","-100"
"ge_tax_wh_15_sch_g","15% WH SCH G","purchase","15","division","15% Withholding","15% გადახდის წყაროსთან","Gross Withholding on Payment - Scholarship","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — სტიპენდია","ge_tax_group_wh_15","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_32","False","on_payment","ge_account_331212","base","invoice","","9(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","9(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","9(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","9(T)_W_G","-100"
"ge_tax_wh_20_sch_g","20% WH SCH G","purchase","20","division","20% Withholding","20% გადახდის წყაროსთან","Gross Withholding on Payment - Scholarship","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — სტიპენდია","ge_tax_group_wh_20","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_4,l10n_ge_withholding.wht_category_30","False","on_payment","ge_account_331212","base","invoice","","9(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","9(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","9(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","9(T)_W_G","-100"
"ge_tax_wh_20_pen_d","20% WH PEN D","purchase","-20","percent","20% Withholding","20% გადახდის წყაროსთან","Deducted Withholding on Payment - Returned pension","გადახდის წყაროსთან დაკავებული გადასახადი (გამოქვითვა) — დაბრუნებული პენსია","ge_tax_group_wh_20","ge_fiscal_position_domestic,ge_fiscal_position_foreign","True","l10n_ge_withholding.wht_category_4,l10n_ge_withholding.wht_category_26,l10n_ge_withholding.wht_category_30","True","on_invoice","","base","invoice","","10(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","","100"
"","","","","","","","","","","","","","","","","base","refund","","10(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","","100"
"ge_tax_wh_20_pen_g","20% WH PEN G","purchase","20","division","20% Withholding","20% გადახდის წყაროსთან","Gross Withholding on Payment - Returned pension","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — დაბრუნებული პენსია","ge_tax_group_wh_20","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_4,l10n_ge_withholding.wht_category_26,l10n_ge_withholding.wht_category_30","False","on_payment","ge_account_331212","base","invoice","","10(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","10(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","10(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","10(T)_W_G","-100"
"ge_tax_wh_5_gam_d","5% WH GAM D","purchase","-5","percent","5% Withholding","5% გადახდის წყაროსთან","Deducted Withholding on Payment - Gambling / prize-gaming account withdrawal","გადახდის წყაროსთან დაკავებული გადასახადი (გამოქვითვა) — აზარტული თამაშობის ანგარიშიდან გატანა","ge_tax_group_wh_5","ge_fiscal_position_domestic,ge_fiscal_position_foreign","True","l10n_ge_withholding.wht_category_30","True","on_invoice","","base","invoice","","11(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","","100"
"","","","","","","","","","","","","","","","","base","refund","","11(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","","100"
"ge_tax_wh_0_gam_g","0% WH GAM G","purchase","0","division","0% Withholding","0% გადახდის წყაროსთან","Gross Withholding on Payment - Gambling / prize-gaming account withdrawal","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — აზარტული თამაშობის ანგარიშიდან გატანა","ge_tax_group_wh_0","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_42","False","on_payment","ge_account_331212","base","invoice","","11(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","11(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","11(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","11(T)_W_G","-100"
"ge_tax_wh_5_gam_g","5% WH GAM G","purchase","5","division","5% Withholding","5% გადახდის წყაროსთან","Gross Withholding on Payment - Gambling / prize-gaming account withdrawal","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — აზარტული თამაშობის ანგარიშიდან გატანა","ge_tax_group_wh_5","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_30","False","on_payment","ge_account_331212","base","invoice","","11(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","11(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","11(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","11(T)_W_G","-100"
"ge_tax_wh_5_hot_d","5% WH HOT D","purchase","-5","percent","5% Withholding","5% გადახდის წყაროსთან","Deducted Withholding on Payment - Compensation for use as hotel rooms","გადახდის წყაროსთან დაკავებული გადასახადი (გამოქვითვა) — სასტუმროს ნომრებად გამოყენების ანაზღაურება","ge_tax_group_wh_5","ge_fiscal_position_domestic,ge_fiscal_position_foreign","True","l10n_ge_withholding.wht_category_29","True","on_invoice","","base","invoice","","12(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","","100"
"","","","","","","","","","","","","","","","","base","refund","","12(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","","100"
"ge_tax_wh_5_hot_g","5% WH HOT G","purchase","5","division","5% Withholding","5% გადახდის წყაროსთან","Gross Withholding on Payment - Compensation for use as hotel rooms","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — სასტუმროს ნომრებად გამოყენების ანაზღაურება","ge_tax_group_wh_5","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_29","False","on_payment","ge_account_331212","base","invoice","","12(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","12(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","12(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","12(T)_W_G","-100"
