id,code,name,parent_id:id,type,user_type:id,reconcile
lv_2012_account_6_3,63,"Komisijas, starpniecības un citi ieņēmumi",lv_2012_account_6,view,account.data_account_type_view,FALSE
lv_2012_account_6310,6310,Komisijas un starpniecības ieņēmumi,lv_2012_account_6_3,other,account_type_2012_6,FALSE
lv_2012_account_6320,6320,Ieņēmumi no atkritumu pārstrādes un realizācijas,lv_2012_account_6_3,other,account_type_2012_6,FALSE
lv_2012_account_6330,6330,Ieņēmumi no taras realizācijas,lv_2012_account_6_3,other,account_type_2012_6,FALSE
lv_2012_account_6340,6340,Ar nodokļiem neapliekamie ieņēmumi,lv_2012_account_6_3,other,account_type_2012_6,FALSE
lv_2012_account_6_4,64,Ieņēmumus samazinošas atlaides,lv_2012_account_6,view,account.data_account_type_view,FALSE
lv_2012_account_6410,6410,Piešķirtās skonto atlaides,lv_2012_account_6_4,other,account_type_2012_6,FALSE
lv_2012_account_6420,6420,Piešķirtie bonusi,lv_2012_account_6_4,other,account_type_2012_6,FALSE
lv_2012_account_6430,6430,Piešķirtie rabati un citas tirdzniecības atlaides,lv_2012_account_6_4,other,account_type_2012_6,FALSE
lv_2012_account_6_5,65,Pārējie uzņēmuma ieņēmumi,lv_2012_account_6,view,account.data_account_type_view,FALSE
lv_2012_account_6510,6510,Ieņēmumi no vērtspapīru kursa paaugstināšanās,lv_2012_account_6_5,other,account_type_2012_6,FALSE
lv_2012_account_6520,6520,Ieņēmumi no pamatlīdzekļu pārdošanas,lv_2012_account_6_5,other,account_type_2012_6,FALSE
lv_2012_account_6530,6530,Ieņēmumi no zemes gabalu iznomāšanas,lv_2012_account_6_5,other,account_type_2012_6,FALSE
lv_2012_account_6540,6540,Ieņēmumi no apgrozāmo līdzekļu pārdošanas,lv_2012_account_6_5,other,account_type_2012_6,FALSE
lv_2012_account_6550,6550,Ieņēmumi no pamatlīdzekļu iznomāšanas,lv_2012_account_6_5,other,account_type_2012_6,FALSE
lv_2012_account_6560,6560,Ieņēmumos pārskaitītais rezervju un uzkrājumu samazinājums,lv_2012_account_6_5,other,account_type_2012_6,FALSE
lv_2012_account_6570,6570,Iepriekšējo gadu nodokļa samazinājums,lv_2012_account_6_5,other,account_type_2012_6,FALSE
lv_2012_account_6580,6580,Papildus ieguldījumi un citi ieņēmumi,lv_2012_account_6_5,other,account_type_2012_6,FALSE
lv_2012_account_6590,6590,Pašu uzņēmuma kapitālieguldījumiem izpildītie darbi,lv_2012_account_6_5,other,account_type_2012_6,FALSE
lv_2012_account_6_6,66,Gatavās produkcijas un nepabeigto ražojumu krājumu un vērtības izmaiņas,lv_2012_account_6,view,account.data_account_type_view,FALSE
lv_2012_account_6610,6610,Gatavās produkcijas krājumu un vērtības izmaiņas,lv_2012_account_6_6,other,account_type_2012_6,FALSE
lv_2012_account_6620,6620,Nepabeigto ražojumu krājumu un vērtības izmaiņas,lv_2012_account_6_6,other,account_type_2012_6,FALSE
lv_2012_account_6630,6630,Nepabeigto pasūtījumu atlikumu un vērtības izmaiņas,lv_2012_account_6_6,other,account_type_2012_6,FALSE
lv_2012_account_6640,6640,Produktīvo un darba dzīvnieku ganāmpulka vērtības izmaiņas,lv_2012_account_6_6,other,account_type_2012_6,FALSE
lv_2012_account_6_7,67,"Citu periodu ieņēmumi, kas attiecas uz pārskata periodu",lv_2012_account_6,view,account.data_account_type_view,FALSE
lv_2012_account_6710,6710,"Citu periodu ieņēmumi, kas attiecas uz pārskata periodu",lv_2012_account_6_7,other,account_type_2012_6,FALSE
lv_2012_account_6_9,69,Sociālās infrastruktūras iestāžu un pasākumu ieņēmumi,lv_2012_account_6,view,account.data_account_type_view,FALSE
lv_2012_account_6910,6910,Dzīvokļu saimniecības ieņēmumi,lv_2012_account_6_9,other,account_type_2012_6,FALSE
lv_2012_account_6920,6920,Komunālās saimniecības ieņēmumi,lv_2012_account_6_9,other,account_type_2012_6,FALSE
lv_2012_account_6930,6930,Sadzīves pakalpojumu ieņēmumi,lv_2012_account_6_9,other,account_type_2012_6,FALSE
lv_2012_account_6940,6940,Sabiedriskās ēdināšanas ieņēmumi,lv_2012_account_6_9,other,account_type_2012_6,FALSE
lv_2012_account_6950,6950,Izglītības iestāžu ieņēmumi,lv_2012_account_6_9,other,account_type_2012_6,FALSE
lv_2012_account_6960,6960,Medicīnas iestāžu ieņēmumi,lv_2012_account_6_9,other,account_type_2012_6,FALSE
lv_2012_account_6970,6970,Kultūras un sporta iestāžu un pasākumu ieņēmumi,lv_2012_account_6_9,other,account_type_2012_6,FALSE
lv_2012_account_6980,6980,Pārējie sociālās infrastruktūras iestāžu un pasākumu ieņēmumi,lv_2012_account_6_9,other,account_type_2012_6,FALSE
lv_2012_account_7,7,Saimnieciskās darbības izdevumi,lv_2012_account_0,view,account.data_account_type_view,FALSE
lv_2012_account_7_1,71,"Izdevumi izejvielu, materiālu un preču iepirkšanai",lv_2012_account_7,view,account.data_account_type_view,FALSE
