type,name,res_id,src,value
field,"hr.expense.type,name",0,Type,类型
field,"hr.holidays,employee_id",0,Employee,雇员
field,"hr.holidays,date_from",0,Holiday start,假期开始
field,"hr.holidays,holiday_status",0,Holiday's Status,假期状态
field,"hr.holidays,name",0,Description,说明
field,"hr.holidays,date_to",0,Holiday end,假期结束
field,"hr.holidays.status,name",0,Holiday Status,假期状态
field,"hr.timesheet,dayofweek",0,Day of week,星期
field,"hr.timesheet,hour_from",0,Work from,工作从
field,"hr.timesheet,name",0,Name,名称
field,"hr.timesheet,tgroup_id",0,Employee's timesheet group,雇员工作时间表
field,"hr.timesheet,hour_to",0,Work to,工作至
field,"hr.timesheet.group,timesheet_id",0,Timesheet,工作时间表
field,"hr.timesheet.group,name",0,Group's name,小组名称
field,"ir.actions.act_window,domain",0,Domain Value,所有权价值
field,"ir.actions.act_window,name",0,Action Name,动作名称
model,"ir.actions.act_window,name",1,ir.ui.menu.tree.admin,ir.ui.menu.tree.admin
model,"ir.actions.act_window,name",2,ir.ui.menu.tree.user,ir.ui.menu.tree.user
model,"ir.actions.act_window,name",3,ir.sequence,ir.sequence
model,"ir.actions.act_window,name",4,ir.sequence.type,ir.sequence.type
model,"ir.actions.act_window,name",5,ir.actions.actions,ir.actions.actions
model,"ir.actions.act_window,name",6,ir.actions.execute,ir.actions.execute
model,"ir.actions.act_window,name",7,ir.actions.group,ir.actions.group
model,"ir.actions.act_window,name",8,ir.actions.report.custom,ir.actions.report.custom
model,"ir.actions.act_window,name",9,ir.actions.report.xml,ir.actions.report.xml
model,"ir.actions.act_window,name",10,ir.actions.act_window,ir.actions.act_window
model,"ir.actions.act_window,name",11,ir.actions.wizard,ir.actions.wizard
model,"ir.actions.act_window,name",12,res.users,res.users
model,"ir.actions.act_window,name",13,res.groups,res.groups
model,"ir.actions.act_window,name",14,res.roles.tree,res.roles.tree
model,"ir.actions.act_window,name",15,ir.ui.view,ir.ui.view
model,"ir.actions.act_window,name",16,ir.attachment,ir.attachment
model,"ir.actions.act_window,name",17,ir.report.custom,ir.report.custom
model,"ir.actions.act_window,name",18,ir.translation.view,ir.translation.view
model,"ir.actions.act_window,name",19,ir.ui.menu.form2,ir.ui.menu.form2
model,"ir.actions.act_window,name",20,ir.cron.form,ir.cron.form
model,"ir.actions.act_window,name",21,res.project,res.project
model,"ir.actions.act_window,name",22,res.request.form,res.request.form
model,"ir.actions.act_window,name",23,res.request.link.form,res.request.link.form
model,"ir.actions.act_window,name",26,res.country,res.country
model,"ir.actions.act_window,name",27,res.country.state,res.country.state
model,"ir.actions.act_window,name",28,res.partner,res.partner
model,"ir.actions.act_window,name",29,res.partner.address,res.partner.address
model,"ir.actions.act_window,name",30,res.partner.title,res.partner.title
model,"ir.actions.act_window,name",31,res.partner,res.partner
model,"ir.actions.act_window,name",32,Company Architecture,公司结构体系
model,"ir.actions.act_window,name",33,res.partner.category,res.partner.category
model,"ir.actions.act_window,name",34,res.lang,res.lang
model,"ir.actions.act_window,name",38,res.partner.canal.form,res.partner.canal.form
model,"ir.actions.act_window,name",39,res.partner.som.form,res.partner.som.form
model,"ir.actions.act_window,name",40,network.material.tree,network.material.tree
model,"ir.actions.act_window,name",41,network.material.tree_by_network,network.material.tree_by_network
model,"ir.actions.act_window,name",42,network.material.edit_material_2click,network.material.edit_material_2click
model,"ir.actions.act_window,name",43,network.software.type,network.software.type
model,"ir.actions.act_window,name",44,network.hardware.type,network.hardware.type
model,"ir.actions.act_window,name",45,network.network.tree,network.network.tree
model,"ir.actions.act_window,name",46,network.network.form,network.network.form
model,"ir.actions.act_window,name",50,hr.employee,hr.employee
model,"ir.actions.act_window,name",51,hr.timesheet.group.form.open,hr.timesheet.group.form.open
model,"ir.actions.act_window,name",52,hr.attendance.view,hr.attendance.view
model,"ir.actions.act_window,name",53,hr.holidays.ask_form,hr.holidays.ask_form
model,"ir.actions.act_window,name",54,hr.holidays.status,hr.holidays.status
model,"ir.actions.act_window,name",55,hr.holidays.type,hr.holidays.type
model,"ir.actions.act_window,name",56,hr.expense.open_list,hr.expense.open_list
model,"ir.actions.act_window,name",57,hr.expense.expense_claim,hr.expense.expense_claim
model,"ir.actions.act_window,name",58,hr.expense.type.o_view,hr.expense.type.o_view
model,"ir.actions.act_window,name",62,campaign.campaign.tree,campaign.campaign.tree
model,"ir.actions.act_window,name",63,campaign.campaign.form,campaign.campaign.form
model,"ir.actions.act_window,name",64,campaign.partner.open,campaign.partner.open
model,"ir.actions.act_window,name",65,subscription.subscription.form,subscription.subscription.form
model,"ir.actions.act_window,name",66,subscription.document.form,subscription.document.form
model,"ir.actions.act_window,name",67,account.currency,account.currency
model,"ir.actions.act_window,name",68,account.account.form,account.account.form
model,"ir.actions.act_window,name",69,account.account.tree,account.account.tree
model,"ir.actions.act_window,name",70,account.move.line.tree1,account.move.line.tree1
model,"ir.actions.act_window,name",71,account.move.line.treeform,account.move.line.treeform
model,"ir.actions.act_window,name",72,account.move.line.treeform,account.move.line.treeform
model,"ir.actions.act_window,name",73,account.move.line.form,account.move.line.form
model,"ir.actions.act_window,name",74,account.move.form,account.move.form
model,"ir.actions.act_window,name",75,account.tax,account.tax
model,"ir.actions.act_window,name",76,account.invoice,account.invoice
model,"ir.actions.act_window,name",77,account.invoice,account.invoice
model,"ir.actions.act_window,name",78,account.invoice,account.invoice
model,"ir.actions.act_window,name",79,account.invoice,account.invoice
model,"ir.actions.act_window,name",80,account.invoice,account.invoice
model,"ir.actions.act_window,name",81,account.invoice,account.invoice
model,"ir.actions.act_window,name",82,account.invoice,account.invoice
model,"ir.actions.act_window,name",83,account.invoice,account.invoice
model,"ir.actions.act_window,name",84,account.invoice,account.invoice
model,"ir.actions.act_window,name",85,account.invoice,account.invoice
model,"ir.actions.act_window,name",86,account.invoice,account.invoice
model,"ir.actions.act_window,name",87,account.invoice,account.invoice
model,"ir.actions.act_window,name",88,account.invoice,account.invoice
model,"ir.actions.act_window,name",89,account.invoice,account.invoice
model,"ir.actions.act_window,name",90,account.transfer.form,account.transfer.form
model,"ir.actions.act_window,name",103,product.variant.form,product.variant.form
model,"ir.actions.act_window,name",104,product.template.form,product.template.form
model,"ir.actions.act_window,name",105,product.normal.form,product.normal.form
model,"ir.actions.act_window,name",106,product.category.form,product.category.form
model,"ir.actions.act_window,name",107,product.normal.form,product.normal.form
model,"ir.actions.act_window,name",108,product.pricelist.form,product.pricelist.form
model,"ir.actions.act_window,name",109,product.pricelist.form,product.pricelist.form
model,"ir.actions.act_window,name",110,huissier.dossier,huissier.dossier
model,"ir.actions.act_window,name",111,huissier.lots.from_a_date,huissier.lots.from_a_date
model,"ir.actions.act_window,name",112,huissier.dossier,huissier.dossier
model,"ir.actions.act_window,name",113,huissier.vignettes,huissier.vignettes
model,"ir.actions.act_window,name",117,crm.case.categ.form,crm.case.categ.form
model,"ir.actions.act_window,name",118,crm.case.form,crm.case.form
model,"ir.actions.act_window,name",119,crm.case.form,crm.case.form
model,"ir.actions.act_window,name",120,crm.case.form,crm.case.form
model,"ir.actions.act_window,name",121,crm.case.form,crm.case.form
model,"ir.actions.act_window,name",122,crm.case.form,crm.case.form
model,"ir.actions.act_window,name",123,crm.case.form,crm.case.form
model,"ir.actions.act_window,name",124,crm.case.form,crm.case.form
model,"ir.actions.act_window,name",125,crm.case.form,crm.case.form
model,"ir.actions.act_window,name",126,crm.case.form,crm.case.form
model,"ir.actions.act_window,name",127,crm.segmentation.form,crm.segmentation.form
model,"ir.actions.act_window,name",128,crm.segmentation.tree,crm.segmentation.tree
model,"ir.actions.act_window,name",130,auction.artists,auction.artists
model,"ir.actions.act_window,name",131,auction.dates,auction.dates
model,"ir.actions.act_window,name",132,auction.dates,auction.dates
model,"ir.actions.act_window,name",133,auction.dates,auction.dates
model,"ir.actions.act_window,name",134,auction.lot.category,auction.lot.category
model,"ir.actions.act_window,name",135,auction.lots,auction.lots
model,"ir.actions.act_window,name",136,auction.lots,auction.lots
model,"ir.actions.act_window,name",137,auction.lots.from_a_date,auction.lots.from_a_date
model,"ir.actions.act_window,name",138,auction.lots.from_a_date,auction.lots.from_a_date
model,"ir.actions.act_window,name",139,auction.deposit,auction.deposit
model,"ir.actions.act_window,name",140,auction.deposit,auction.deposit
model,"ir.actions.act_window,name",171,stock.lot.inventory,stock.lot.inventory
model,"ir.actions.act_window,name",172,stock.lot.form,stock.lot.form
model,"ir.actions.act_window,name",173,stock.location,stock.location
model,"ir.actions.act_window,name",174,stock.location.tree,stock.location.tree
model,"ir.actions.act_window,name",175,stock.warehouse,stock.warehouse
model,"ir.actions.act_window,name",176,stock.packing,stock.packing
model,"ir.actions.act_window,name",177,stock.packing,stock.packing
model,"ir.actions.act_window,name",178,stock.packing,stock.packing
model,"ir.actions.act_window,name",179,stock.packing,stock.packing
