"id","parent_id","active","name","code","account_type","reconcile","non_trade"
"l10n_mz_account_283","l10n_mz_account_group_28","True","Inventory adjustments - Finished and intermediate goods","283","asset_current","False",""
"l10n_mz_account_284","l10n_mz_account_group_28","True","Inventory adjustments - By-products, waste and scrap","284","asset_current","False",""
"l10n_mz_account_285","l10n_mz_account_group_28","True","Inventory adjustments - Work in progress","285","asset_current","False",""
"l10n_mz_account_286","l10n_mz_account_group_28","True","Inventory adjustments - Raw materials and other supplies","286","asset_current","False",""
"l10n_mz_account_287","l10n_mz_account_group_28","True","Inventory adjustments - Biological assets","287","asset_current","False",""
"l10n_mz_account_292","l10n_mz_account_group_29","True","Net realisable value adjustments - Goods","292","asset_current","False",""
"l10n_mz_account_293","l10n_mz_account_group_29","True","Net realisable value adjustments - Finished and intermediate goods","293","asset_current","False",""
"l10n_mz_account_294","l10n_mz_account_group_29","True","Net realisable value adjustments - By-products, waste and scrap","294","asset_current","False",""
"l10n_mz_account_295","l10n_mz_account_group_29","True","Net realisable value adjustments - Work in progress","295","asset_current","False",""
"l10n_mz_account_296","l10n_mz_account_group_29","True","Net realisable value adjustments - Raw materials and other supplies","296","asset_current","False",""
"l10n_mz_account_297","l10n_mz_account_group_29","True","Net realisable value adjustments - Biological assets","297","asset_current","False",""
"l10n_mz_account_311","l10n_mz_account_group_31","True","Investments in subsidiaries","311","asset_non_current","False",""
"l10n_mz_account_312","l10n_mz_account_group_31","True","Investments in associates","312","asset_non_current","False",""
"l10n_mz_account_313","l10n_mz_account_group_31","True","Other financial investments","313","asset_non_current","False",""
"l10n_mz_account_3211","l10n_mz_account_group_321","True","Industrial buildings","3211","asset_fixed","False",""
"l10n_mz_account_3212","l10n_mz_account_group_321","True","Administrative and commercial offices","3212","asset_fixed","False",""
"l10n_mz_account_3213","l10n_mz_account_group_321","True","Buildings for housing and other social purposes","3213","asset_fixed","False",""
"l10n_mz_account_3216","l10n_mz_account_group_321","True","Transport infrastructures and similar constructions","3216","asset_fixed","False",""
"l10n_mz_account_322","l10n_mz_account_group_32","True","Equipment","322","asset_fixed","False",""
"l10n_mz_account_323","l10n_mz_account_group_32","True","Furniture and fixtures","323","asset_fixed","False",""
"l10n_mz_account_324","l10n_mz_account_group_32","True","Vehicles","324","asset_fixed","False",""
"l10n_mz_account_325","l10n_mz_account_group_32","True","Returnable containers","325","asset_fixed","False",""
