"id","name","code","account_type","active","reconcile","non_trade","parent_id","description","name@ar_001","depreciation_model_id","description@ar"
"uae_account_210400","Accrued - Audit and Professional Fees","210400","liability_current","True","False","","uae_account_210000","","المستحقات - رسوم التدقيق","",""
"uae_account_210500","Accrued - Telephone","210500","liability_current","True","False","","uae_account_210000","","المستحقات - الهاتف","",""
"uae_account_210600","Accrued - Sponsorship","210600","liability_current","True","False","","uae_account_210000","","المستحقات - الرعاية","",""
"uae_account_210700","Accrued Others","210700","liability_current","True","False","","uae_account_210000","","المستحقات الأخرى ","",""
"uae_account_210800","Accrued Customs Duties","210800","liability_current","True","False","","uae_account_210000","","جمارك دبي المستحقة","",""
"uae_account_220000","Payables","220000","liability_payable","False","True","","","","","",""
"uae_account_220100","Leave Days Provision","220100","liability_current","True","False","","uae_account_220000","","توفير أيام الإجازة","",""
"uae_account_220101","Leave Tickets Provision","220101","liability_current","True","False","","uae_account_220000","","توفير تذاكر الإجازات","",""
"uae_account_220102","End of Service Provision","220102","liability_non_current","True","False","","uae_account_220000","","مكافأة نهاية الخدمة","",""
"uae_account_220103","Social Insurance Payable","220103","liability_payable","True","True","","uae_account_220000","","الضمان الاجتماعي مستحق الدفع","",""
"uae_account_220104","DEWS Payable","220104","liability_payable","True","True","","uae_account_220000","","المدفوعات المستحقة لخطة DEWS","",""
"uae_account_220200","VAT Output","220200","liability_current","True","False","","uae_account_220000","","مُخرجات ضريبة القيمة المضافة","",""
"uae_account_220201","VAT Output - Postponed Payment","220201","liability_current","True","False","","uae_account_220000","","مُخرجات ضريبة القيمة المضافة - الدفع المؤجل","",""
"uae_account_230000","Deferred Income","230000","liability_current","False","False","","","","","",""
"uae_account_230100","Payables","230100","liability_payable","True","True","","uae_account_230000","","المبالغ مستحقة الدفع","",""
"uae_account_230101","Non-trade Payables","230101","liability_payable","True","True","","uae_account_230000","","","",""
"uae_account_230102","Credit Notes to Customers","230102","liability_current","True","False","","uae_account_230000","","إشعارات العملاء الدائنة","",""
"uae_account_230200","VAT Payable","230200","liability_payable","True","True","True","uae_account_230000","","ضريبة القيمة المضافة مستحقة الدفع","",""
"uae_account_240000","Accrued Expenses","240000","liability_current","False","False","","","","","",""
"uae_account_240100","Deferred Income","240100","liability_current","True","False","","uae_account_240000","","الدخل المؤجل","",""
"uae_account_240200","Deferred Revenues - Other","240200","liability_current","True","False","","uae_account_240000","","الإيرادات المؤجلة - أخرى","",""
"uae_account_400000","Cost of Goods Sold","400000","expense_direct_cost","False","False","","","","","",""
"uae_account_400100","Cost of Goods Sold in Trading","400100","expense_direct_cost","True","False","","uae_account_400000","Expenses for purchasing goods held for resale in trading activities.","تكلفة البضائع المباعة في التجارة","","نفقات شراء البضائع المحتفظ بها لإعادة بيعها في الأنشطة التجارية."
"uae_account_400200","Cost Of Goods Sold I/C Sales","400200","expense_direct_cost","True","False","","uae_account_400000","Expenses for goods sold through intercompany transactions.","تكلفة البضائع المباعة I/C","","نفقات البضائع المباعة من خلال المعاملات بين الشركات."
"uae_account_400400","Raw materials","400400","expense_direct_cost","True","False","","uae_account_400000","All goods purchased as raw materials used by your activity","المواد الخام","","كافة السلع التي تم شراؤها كمواد خام المستخدمة في أنشطتك"
"uae_account_400500","Consumables","400500","expense_direct_cost","True","False","","uae_account_400000","Consumables bought and used in the context of your activity","المواد الاستهلاكية","","المواد الاستهلاكية التي تم شراؤها واستخدامها في سياق نشاطك"
"uae_account_400600","Studies & works","400600","expense_direct_cost","True","False","","uae_account_400000","Compensation and fees paid to other parties","الدراسات والأعمال","","التعويضات والرسوم المدفوعة لأطراف أخرى"
"uae_account_400700","General subcontracting","400700","expense_direct_cost","True","False","","uae_account_400000","Compensation and fees with other partners that act as subcontractors or consultants for your activity","التعاقد من الباطن","","التعويضات والرسوم مع الشركاء الآخرين الذين يعملون كمتعاقدين من الباطن أو مستشارين لنشاطك"
"uae_account_400800","Goods for resale","400800","expense_direct_cost","True","False","","uae_account_400000","Goods you buy to resale later, as part of your activity","البضائع المخصصة لإعادة البيع","","البضائع التي تشتريها لإعادة بيعها لاحقًا، كجزء من نشاطك"
"uae_account_410000","Personnel Costs","410000","expense","False","False","","","","","",""
"uae_account_410100","Basic Salary","410100","expense","True","False","","uae_account_410000","Expenses for employees' base salaries.","الراتب الأساسي","","نفقات الرواتب الأساسية للموظفين."
"uae_account_410200","Housing Allowance","410200","expense","True","False","","uae_account_410000","Expenses for housing benefits provided to employees.","بدل السكن","","نفقات بدل السكن المقدمة للموظفين."
"uae_account_410300","Transportation Allowance","410300","expense","True","False","","uae_account_410000","Expenses for transportation benefits provided to employees.","بدل المواصلات","","نفقات بدل المواصلات المقدمة للموظفين."
"uae_account_410400","Staff Other Allowances","410400","expense","True","False","","uae_account_410000","Compensation costs for employees and manual workers employed by the company","بدلات الموظفين الأخرى ","",""
"uae_account_410500","Sales Commission","410500","expense","True","False","","uae_account_410000","Expenses for commissions paid on sales performance.","عمولة المبيعات","","نفقات العمولات المدفوعة على أداء المبيعات."
"uae_account_410600","Employee Other Benefits","410600","expense","True","False","","uae_account_410000","Expenses for additional employee benefits not classified under salaries, allowances, or insurance.","","",""
"uae_account_410700","Leave Salary","410700","expense","True","False","","uae_account_410000","Expenses for salaries paid to employees during leave periods.","راتب الإجازة","","نفقات الرواتب المدفوعة للموظفين خلال فترات الإجازة."
"uae_account_410800","Leave Ticket","410800","expense","True","False","","uae_account_410000","Expenses for travel tickets provided to employees during leave.","تذاكر الإجازات","","نفقات تذاكر السفر المقدمة للموظفين أثناء الإجازة."
"uae_account_411000","Life Insurance","411000","expense","True","False","","uae_account_410000","Expenses for life insurance premiums for employees.","التأمين على الحياة","","نفقات أقساط التأمين على الحياة للموظفين."
"uae_account_411100","Medical Insurance","411100","expense","True","False","","uae_account_410000","Expenses for medical insurance coverage for employees.","التأمين الصحي","","تكاليف التأمين الطبي للموظفين."
"uae_account_411200","Hiring & Mobilization","411200","expense","True","False","","uae_account_410000","Expenses for recruitment, onboarding, and employee relocation or mobilization costs.","","",""
