"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@ro","fiscal_position_ids","original_tax_ids"
"tvad_19_s","40","VAT deductible 19% Services","VAT deductible 19% Services","19% S","19.0","percent","purchase","tax_group_tva_19","","","base","invoice","+24_1 - TAX BASE","","","TVA deductibil 19% Servicii","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+24_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-24_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-24_1 - VAT","pcg_4426","","","",""
"tvad_21_s","40","VAT deductible 21% Services","VAT deductible 21% Services","21% S","21.0","percent","purchase","tax_group_tva_21","","","base","invoice","+24_1 - TAX BASE","","","TVA deductibil 21% Servicii","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+24_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-24_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-24_1 - VAT","pcg_4426","","","",""
"tvaic_00","13","VAT on collection - 0% collected","VAT collected 0%","0%","0.0","percent","sale","tax_group_tva_0","","","base","invoice","+14 - TAX BASE","","","TVA la colectare - 0% colectat","fiscal_position_template_8","tvac_00,tvac_00_s"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-14 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvaic_05","12","VAT on collection - collected 5%","VAT collected 5%","5%","5.0","percent","sale","tax_group_tva_5","on_payment","pcg_44281","base","invoice","-11 - TAX BASE","","","TVA la colectare - colectat 5%","fiscal_position_template_8","tvac_05,tvac_05_s"
"","","","","","","","","","","","tax","invoice","-11 - VAT","pcg_4427","","","",""
"","","","","","","","","","","","base","refund","+11 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","+11 - VAT","pcg_4427","","","",""
"tvaic_09","11","VAT on collection - collected 9%","VAT collected 9%","9%","9.0","percent","sale","tax_group_tva_9","on_payment","pcg_44281","base","invoice","-10 - TAX BASE","","","TVA la colectare - colectat 9%","fiscal_position_template_8","tvac_09,tvac_09_s"
"","","","","","","","","","","","tax","invoice","-10 - VAT","pcg_4427","","","",""
"","","","","","","","","","","","base","refund","+10 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","+10 - VAT","pcg_4427","","","",""
"tvaic_11","11","VAT on collection - collected 11%","VAT collected 11%","11%","11.0","percent","sale","tax_group_tva_11","on_payment","pcg_44281","base","invoice","-10 - TAX BASE","","","TVA la colectare - colectat 11%","fiscal_position_template_8","tvac_11,tvac_11_s"
"","","","","","","","","","","","tax","invoice","-10 - VAT","pcg_4427","","","",""
"","","","","","","","","","","","base","refund","+10 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","+10 - VAT","pcg_4427","","","",""
"tvaic_19","10","VAT on collection - collected 19%","VAT collected 19%","19%","19.0","percent","sale","tax_group_tva_19","on_payment","pcg_44281","base","invoice","-09 - TAX BASE","","","TVA la colectare - colectat 19%","fiscal_position_template_8","tvac_19,tvac_19_s"
"","","","","","","","","","","","tax","invoice","-09 - VAT","pcg_4427","","","",""
"","","","","","","","","","","","base","refund","+09 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","+09 - VAT","pcg_4427","","","",""
"tvaic_21","10","VAT on collection - collected 21%","VAT collected 21%","21%","21.0","percent","sale","tax_group_tva_21","on_payment","pcg_44281","base","invoice","-09 - TAX BASE","","","TVA la colectare - colectat 21%","fiscal_position_template_8","tvac_21,tvac_21_s"
"","","","","","","","","","","","tax","invoice","-09 - VAT","pcg_4427","",""
"","","","","","","","","","","","base","refund","+09 - TAX BASE","","",""
"","","","","","","","","","","","tax","refund","+09 - VAT","pcg_4427","",""
"tvaid_00","53","VAT on collection - 0% deductible","0% deductible VAT","0%","0.0","percent","purchase","tax_group_tva_0","","","base","invoice","+30 - TAX BASE","","","TVA la colectare - 0% deductibil","fiscal_position_template_8","tvad_00_s,tvad_00"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-30 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvaid_05","52","VAT on collection - 5% deductible","5% VAT deductible","5%","5.0","percent","purchase","tax_group_tva_5","on_payment","pcg_44282","base","invoice","+26_1 - TAX BASE","","","TVA la colectare - 5% deductibil","fiscal_position_template_8","tvad_05_s,tvad_05"
"","","","","","","","","","","","tax","invoice","+26_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-26_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-26_1 - VAT","pcg_4426","","","",""
"tvaid_09","51","VAT on collection - 9% deductible","9% VAT deductible","9%","9.0","percent","purchase","tax_group_tva_9","on_payment","pcg_44282","base","invoice","+25_1 - TAX BASE","","","TVA la colectare - 9% deductibil","fiscal_position_template_8","tvad_09,tvad_09_s"
"","","","","","","","","","","","tax","invoice","+25_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-25_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-25_1 - VAT","pcg_4426","","","",""
"tvaid_11","51","VAT on collection - 11% deductible","11% VAT deductible","11%","11.0","percent","purchase","tax_group_tva_11","on_payment","pcg_44282","base","invoice","+25_1 - TAX BASE","","","TVA la colectare - 11% deductibil","fiscal_position_template_8","tvad_11,tvad_11_s"
"","","","","","","","","","","","tax","invoice","+25_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-25_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-25_1 - VAT","pcg_4426","","","",""
"tvaid_19","50","VAT on collection - 19% deductible","19% VAT deductible","19%","19.0","percent","purchase","tax_group_tva_19","on_payment","pcg_44282","base","invoice","+24_1 - TAX BASE","","","TVA la colectare - 19% deductibil","fiscal_position_template_8","tvad_19_s,tvad_19"
"","","","","","","","","","","","tax","invoice","+24_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-24_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-24_1 - VAT","pcg_4426","","","",""
"tvaid_21","50","VAT on collection - 21% deductible","21% VAT deductible","21%","21.0","percent","purchase","tax_group_tva_21","on_payment","pcg_44282","base","invoice","+24_1 - TAX BASE","","","TVA la colectare - 21% deductibil","fiscal_position_template_8","tvad_21_s,tvad_21"
"","","","","","","","","","","","tax","invoice","+24_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-24_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-24_1 - VAT","pcg_4426","","","",""
"tvati","20","VAT Reverse Tax","VAT Reverse Tax","0% R","0.0","percent","sale","tax_group_tva_ti","","","base","invoice","+13 - TAX BASE","","","TVA Taxare Inversa","fiscal_position_template_2","tvac_09,tvac_00,tvac_05_s,tvac_05,tvac_19,tvac_00_s,tvac_19_s,tvac_09_s"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-13 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvatip00","63","VAT Reverse Tax 0%","VAT Reverse Tax 0%","0% R","0.0","percent","purchase","tax_group_tva_ti","","","base","invoice","+30 - TAX BASE","","","TVA Taxare Inversa 0%","fiscal_position_template_2","tvad_00_s,tvad_00"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-30 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvatip05","62","VAT Reverse Tax 5%","VAT Reverse Tax 5%","5% R","5.0","percent","purchase","tax_group_tva_ti","","","base","invoice","+12_3 - TAX BASE||+27_3 - TAX BASE","","","TVA Taxare Inversa 5%","fiscal_position_template_2","tvad_05_s,tvad_05"
"","","","","","","","","","","","tax","invoice","-12_3 - VAT","pcg_4427","-100","","",""
"","","","","","","","","","","","tax","invoice","+27_3 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-12_3 - TAX BASE||-27_3 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","+12_3 - VAT","pcg_4427","-100","","",""
"","","","","","","","","","","","tax","refund","-27_3 - VAT","pcg_4426","","","",""
"tvatip09","61","VAT Reverse Tax 9%","VAT Reverse Tax 9%","9% R","9.0","percent","purchase","tax_group_tva_ti","","","base","invoice","+12_2 - TAX BASE||+27_2 - TAX BASE","","","TVA Taxare Inversa 9%","fiscal_position_template_2","tvad_09,tvad_09_s"
"","","","","","","","","","","","tax","invoice","-12_2 - VAT","pcg_4427","-100","","",""
"","","","","","","","","","","","tax","invoice","+27_2 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-12_2 - TAX BASE||-27_2 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","+12_2 - VAT","pcg_4427","-100","","",""
"","","","","","","","","","","","tax","refund","-27_2 - VAT","pcg_4426","","","",""
"tvatip11","61","VAT Reverse Tax 11%","VAT Reverse Tax 11%","11% R","11.0","percent","purchase","tax_group_tva_ti","","","base","invoice","+12_2 - TAX BASE||+27_2 - TAX BASE","","","TVA Taxare Inversa 11%","fiscal_position_template_2","tvad_11,tvad_11_s"
"","","","","","","","","","","","tax","invoice","-12_2 - VAT","pcg_4427","-100","","",""
"","","","","","","","","","","","tax","invoice","+27_2 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-12_2 - TAX BASE||-27_2 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","+12_2 - VAT","pcg_4427","-100","","",""
"","","","","","","","","","","","tax","refund","-27_2 - VAT","pcg_4426","","","",""
"tvatip19","60","VAT Reverse Tax 19%","VAT Reverse Tax 19%","19% R","19.0","percent","purchase","tax_group_tva_ti","","","base","invoice","+12_1 - TAX BASE||+27_1 - TAX BASE","","","TVA Taxare Inversa 19%","fiscal_position_template_2","tvad_19_s,tvad_19"
"","","","","","","","","","","","tax","invoice","-12_1 - VAT","pcg_4427","-100","","",""
"","","","","","","","","","","","tax","invoice","+27_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-12_1 - TAX BASE||-27_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","+12_1 - VAT","pcg_4427","-100","","",""
"","","","","","","","","","","","tax","refund","-27_1 - VAT","pcg_4426","","","",""
"tvatip21","60","VAT Reverse Tax 21%","VAT Reverse Tax 21%","21% R","21.0","percent","purchase","tax_group_tva_ti","","","base","invoice","+12_1 - TAX BASE||+27_1 - TAX BASE","","","TVA Taxare Inversa 19%","fiscal_position_template_2","tvad_21_s,tvad_21"
"","","","","","","","","","","","tax","invoice","-12_1 - VAT","pcg_4427","-100","","",""
"","","","","","","","","","","","tax","invoice","+27_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-12_1 - TAX BASE||-27_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","+12_1 - VAT","pcg_4427","-100","","",""
"","","","","","","","","","","","tax","refund","-27_1 - VAT","pcg_4426","","","",""
"tvatiscded","31","VAT Tax exempt Deliveries with the right to deduct","Exempt-L1","0% EXEMPT D","0.0","percent","sale","tax_group_tva_scutit","","","base","invoice","+14 - TAX BASE","","","TVA Livrări exempționate cu dreptul de a scădea","fiscal_position_template_51","tvac_09,tvac_00,tvac_05_s,tvac_05,tvac_19,tvac_00_s,tvac_19_s,tvac_09_s"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-14 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvatiscnoded","32","VAT Tax exempt Deliveries without the right to deduct","Exempt-L2","0% EXEMPT ND","0.0","percent","sale","tax_group_tva_scutit","","","base","invoice","+15 - TAX BASE","","","TVA Livrări exempționate fără drept de a scădea","fiscal_position_template_52","tvac_09,tvac_00,tvac_05_s,tvac_05,tvac_19,tvac_00_s,tvac_19_s,tvac_09_s"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-15 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvatiscdeda","61","VAT Tax Exemption Acquisitions","Exempt-A","0% EXEMPT","0.0","percent","purchase","tax_group_tva_scutit","","","base","invoice","+30 - TAX BASE","","","TVA Cumpărări Exempționate","fiscal_position_template_51,fiscal_position_template_52","tvad_09,tvad_19_s,tvad_00_s,tvad_09_s,tvad_19,tvad_00,tvad_05_s,tvad_05"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-30 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvatiscdeda_intr","61","VAT Exempt Taxation Intra-Community Acquisitions","Exempt-AI","0% EU EXEMPT","0.0","percent","purchase","tax_group_tva_scutit","","","base","invoice","+30 - TAX BASE||+30_1 - TAX BASE","","","TVA Scutit Taxare Intra-comunitare Achizitii","fiscal_position_template_4","tvad_09,tvad_19_s,tvad_00_s,tvad_09_s,tvad_19,tvad_00,tvad_05_s,tvad_05"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-30 - TAX BASE||-30_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvatine","33","VAT Non-Taxable Taxes Deliveries","Non-Taxable-L","0% NT","0.0","percent","sale","tax_group_tva_neimp","","","base","invoice","+15 - TAX BASE","","","TVA Neimpozabile Taxe Livrari","fiscal_position_template_6","tvac_09,tvac_00,tvac_05_s,tvac_05,tvac_19,tvac_00_s,tvac_19_s,tvac_09_s"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-15 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvatinea","62","VAT Tax Non-Taxable Acquisitions","Non-Taxable-A","0% NT","0.0","percent","purchase","tax_group_tva_neimp","","","base","invoice","+30 - TAX BASE","","","TVA Cumpărări Neimpozabile","fiscal_position_template_6","tvad_09,tvad_19_s,tvad_00_s,tvad_09_s,tvad_19,tvad_00,tvad_05_s,tvad_05"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-30 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvati_intrab","34","Intra-Community VAT Goods Delivery","","0% EU G","0.0","percent","sale","","","","base","invoice","+01 - TAX BASE","","","Livrare intracomunitara de bunuri cu TVA","fiscal_position_template_3,fiscal_position_template_4","tvac_09,tvac_05,tvac_00,tvac_19"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-01 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvati_intras","34","Intra-Community VAT Delivery Services","","0% EU S","0.0","percent","sale","","","","base","invoice","+03 - TAX BASE","","","Servicii de livrare intracomunitare cu TVA","fiscal_position_template_3,fiscal_position_template_4","tvac_00_s,tvac_19_s,tvac_05_s,tvac_09_s"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-03 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvati_extra","35","VAT Exportation Goods","","0% EX G","0.0","percent","sale","tax_group_tva_scutit","","","base","invoice","+14 - TAX BASE","","","TVA Export Bunuri","fiscal_position_template_7","tvac_09,tvac_05,tvac_00,tvac_19"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-14 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvati_extras","35","VAT Exportation Services","","0% EX S","0.0","percent","sale","tax_group_tva_scutit","","","base","invoice","+14 - TAX BASE","","","TVA Export Servicii","fiscal_position_template_7","tvac_00_s,tvac_19_s,tvac_05_s,tvac_09_s"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-14 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvati_intrap0b","66","Intra-Community VAT Acquisitions 0% - Goods","","0% EU G","0.0","percent","purchase","tax_group_tva_0_eu","","","base","invoice","+30 - TAX BASE","","","Achizitii intracomunitare TVA 0% - Bunuri","fiscal_position_template_3","tvad_00"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-30 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
