"id","code","name","reconcile","user_type_id/id","chart_template_id/id"
"l10n_cn_1404","1404","材料成本差异","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1405","1405","库存商品","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1407","1407","商品进销差价","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1408","1408","委托加工物资","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1411","1411","周转材料","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1412","1412","包装物","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1413","1413","低值易耗品","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1421","1421","消耗性生物资产","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1501","1501","长期债券投资","False","account.data_account_type_non_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1501001","1501001","债权投资","False","account.data_account_type_non_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1501002","1501002","其他债权投资","False","account.data_account_type_non_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1511","1511","长期股权投资","False","account.data_account_type_non_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1511001","1511001","股票投资","False","account.data_account_type_non_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1511002","1511002","其他股权投资","False","account.data_account_type_non_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1601","1601","固定资产","False","account.data_account_type_fixed_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1602","1602","累计折旧","False","account.data_account_type_depreciation","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1604","1604","在建工程","False","account.data_account_type_non_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1605","1605","工程物资","False","account.data_account_type_non_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1606","1606","固定资产清理","False","account.data_account_type_depreciation","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1621","1621","生产性生物资产","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1622","1622","生产性生物资产累计折旧","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1701","1701","无形资产","False","account.data_account_type_non_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1702","1702","累计摊销","False","account.data_account_type_depreciation","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1801","1801","长期待摊费用","False","account.data_account_type_depreciation","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1901","1901","待处理财产损溢","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1901001","1901001","待处理流动资产损溢","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_1901002","1901002","待处理固定资产损溢","False","account.data_account_type_current_assets","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2001","2001","短期借款","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2201","2201","应付票据","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2202","2202","应付账款","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2203","2203","预收账款","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2211","2211","应付职工薪酬","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2211001","2211001","工资","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2211002","2211002","职工福利","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2211003","2211003","社会保险费","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2211004","2211004","住房公积金","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2211005","2211005","工会经费","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2211006","2211006","职工教育经费","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2211007","2211007","解除职工劳动关系补偿","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221","2221","应交税费","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221001","2221001","应交增值税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221001001","2221001001","进项税额","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221001002","2221001002","已交税金","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221001003","2221001003","转出未交增值税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221001004","2221001004","减免税款","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221001005","2221001005","销项税额","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221001006","2221001006","出口退税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221001007","2221001007","进项税额转出","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221001008","2221001008","出口抵减内销产品应纳税额","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221001009","2221001009","转出多交增值税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221001010","2221001010","未交增值税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221002","2221002","应交营业税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221003","2221003","应交消费税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221004","2221004","应交资源税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_2221005","2221005","应交所得税","True","account.data_account_type_payable","l10n_cn_small_business.l10n_chart_china_small_business"
