"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","active","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@fr","invoice_label@fr"
"","","","","","","","","","","","","tax","invoice","+103T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-103B","","","",""
"","","","","","","","","","","","","tax","refund","-103T","pcg_4455","","",""
"vat_out_10_106","480","Water for non-domestic use delivered to the public distribution networks and sanitation services","10%","10% 106","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+106B","","","10% 106","Eau à usage non-domestique livrée aux réseaux de distribution publique et les prestations d'assainissement"
"","","","","","","","","","","","","tax","invoice","+106T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-106B","","","",""
"","","","","","","","","","","","","tax","refund","-106T","pcg_4455","","",""
"vat_out_10_108","490","Petroleum gas and other gaseous hydrocarbons","10%","10% 108","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+108B","","","10% 108","Gaz de pétrole et les autres hydrocarbures gazeux"
"","","","","","","","","","","","","tax","invoice","+108T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-108B","","","",""
"","","","","","","","","","","","","tax","refund","-108T","pcg_4455","","",""
"vat_out_10_109","500","Petroleum or shale oils, crude or refined","10%","10% 109","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+109B","","","10% 109","Huiles de pétrole ou de schistes, brutes ou raffinées"
"","","","","","","","","","","","","tax","invoice","+109T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-109B","","","",""
"","","","","","","","","","","","","tax","refund","-109T","pcg_4455","","",""
"vat_out_10_112","510","Ticket sales operations for museums, cinema and theater","10%","10% 112","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+112B","","","10% 112","Opérations de vente des billets d'entrée aux musées, cinéma et théâtre"
"","","","","","","","","","","","","tax","invoice","+112T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-112B","","","",""
"","","","","","","","","","","","","tax","refund","-112T","pcg_4455","","",""
"vat_out_10_113","520","Refined or agglomerated sugar","10%","10% 113","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+113B","","","10% 113","Sucre raffiné ou aggloméré"
"","","","","","","","","","","","","tax","invoice","+113T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-113B","","","",""
"","","","","","","","","","","","","tax","refund","-113T","pcg_4455","","",""
"vat_out_10_117","530","Economy car and products and materials used in its in its manufacture","10%","10% 117","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+117B","","","10% 117","Voiture économique et produits et matières entrant dans sa fabrication"
"","","","","","","","","","","","","tax","invoice","+117T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-117B","","","",""
"","","","","","","","","","","","","tax","refund","-117T","pcg_4455","","",""
"vat_out_10_118","540","Other","10%","10% 118","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+118B","","","10% 118","Autres"
"","","","","","","","","","","","","tax","invoice","+118T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-118B","","","",""
"","","","","","","","","","","","","tax","refund","-118T","pcg_4455","","",""
"vat_out_10_129","550","Transactions with non-resident taxpayers except the royalties and license fees referred to in Article 91-XI","10%","10% EX 129","10","percent","sale","tax_group_vat_10","False","on_payment","pcg_44551","base","invoice","+129B","","","10% EX 129","Opérations réalisées avec des contribuables non résidents à l'exclusion des redevances et droits de licence visés à l’article 91-XI"
"","","","","","","","","","","","","tax","invoice","+129T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-129B","","","",""
"","","","","","","","","","","","","tax","refund","-129T","pcg_4455","","",""
"vat_out_9_66","560","Operations during the year 2025","9%","9% 66","9","percent","sale","tax_group_vat_9","","on_payment","pcg_44551","base","invoice","+66B","","","9% 66","Opérations réalisées au cours de l'année 2025"
"","","","","","","","","","","","","tax","invoice","+66T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-66B","","","",""
"","","","","","","","","","","","","tax","refund","-66T","pcg_4455","","",""
"vat_out_9_129","570","Transactions with non-resident taxpayers except the royalties and license fees referred to in Article 91-XI","9%","9% EX 129","9","percent","sale","tax_group_vat_9","False","on_payment","pcg_44551","base","invoice","+129B","","","9% EX 129","Opérations réalisées avec des contribuables non résidents à l'exclusion des redevances et droits de licence visés à l’article 91-XI"
"","","","","","","","","","","","","tax","invoice","+129T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-129B","","","",""
"","","","","","","","","","","","","tax","refund","-129T","pcg_4455","","",""
"vat_out_8_69","580","Operations during the year 2024","8%","8% 69","8","percent","sale","tax_group_vat_8","","on_payment","pcg_44551","base","invoice","+69B","","","8% 69","Opérations réalisées au cours de l'année 2024"
"","","","","","","","","","","","","tax","invoice","+69T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-69B","","","",""
"","","","","","","","","","","","","tax","refund","-69T","pcg_4455","","",""
"vat_out_8_129","590","Transactions with non-resident taxpayers except the royalties and license fees referred to in Article 91-XI","8%","8% EX 129","8","percent","sale","tax_group_vat_8","False","on_payment","pcg_44551","base","invoice","+129B","","","8% EX 129","Opérations réalisées avec des contribuables non résidents à l'exclusion des redevances et droits de licence visés à l’article 91-XI"
"","","","","","","","","","","","","tax","invoice","+129T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-129B","","","",""
"","","","","","","","","","","","","tax","refund","-129T","pcg_4455","","",""
"vat_out_7_119","600","Operations before January 1 2024","7%","7% 119","7","percent","sale","tax_group_vat_7","False","on_payment","pcg_44551","base","invoice","+119B","","","7% 119","Opérations réalisées avant le 1er janvier 2024"
"","","","","","","","","","","","","tax","invoice","+119T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-119B","","","",""
"","","","","","","","","","","","","tax","refund","-119T","pcg_4455","","",""
